norm_key,ziel,anzahl_records,korrigierte_records,varianten
VESTASV90,V90,143,143,PRÄFIX Vestas | Vestas V90:143 -> V90 (Ziel hat 563)
ENERCONE82,E-82,138,138,PRÄFIX Enercon | Enercon E-82:138 -> E-82 (Ziel hat 953)
ENERCONE175EP5,E-175 EP5,129,129,PRÄFIX Enercon | Enercon E-175 EP5:129 -> E-175 EP5 (Ziel hat 386)
VESTASV172,V172,124,124,PRÄFIX Vestas | Vestas V172:124 -> V172 (Ziel hat 141)
ENERCONE70E4,E-70 E4,121,121,PRÄFIX Enercon | Enercon E-70 E4:121 -> E-70 E4 (Ziel hat 1240)
ENERCONE160EP5E3,E-160 EP5 E3,110,110,PRÄFIX Enercon | Enercon E-160 EP5 E3:110 -> E-160 EP5 E3 (Ziel hat 324)
NORDEXN163/6X,N163/6.X,108,108,PRÄFIX Nordex | Nordex N163/6.X:108 -> N163/6.X (Ziel hat 370)
VESTASV112,V112,96,96,PRÄFIX Vestas | Vestas V112:96 -> V112 (Ziel hat 490)
NORDEXN175/6X,N175/6.X,87,87,PRÄFIX Nordex | Nordex N175/6.X:87 -> N175/6.X (Ziel hat 103)
ENERCONE175EP5E2,E-175 EP5 E2,79,79,PRÄFIX Enercon | Enercon E-175 EP5 E2:79 -> E-175 EP5 E2 (Ziel hat 375)
NORDEXN117,N117,76,76,PRÄFIX Nordex | Nordex N117:76 -> N117 (Ziel hat 306)
ENERCONE101,E-101,71,71,PRÄFIX Enercon | Enercon E-101:71 -> E-101 (Ziel hat 784)
ENERCONE160EP5E3R1,E-160 EP5 E3 R1,66,66,PRÄFIX Enercon | Enercon E-160 EP5 E3 R1:66 -> E-160 EP5 E3 R1 (Ziel hat 378)
ENERCONE70,E-70,66,66,PRÄFIX Enercon | Enercon E-70:66 -> E-70 (Ziel hat 349)
ENERCONE40,E-40,65,65,PRÄFIX Enercon | Enercon E-40:65 -> E-40 (Ziel hat 628)
VESTASV17272MW,V172-7.2 MW,60,60,PRÄFIX Vestas | Vestas V172-7.2 MW:60 -> V172-7.2 MW (Ziel hat 169)
NORDEXN175,N175,59,59,PRÄFIX Nordex | Nordex N175:59 -> N175 (Ziel hat 105)
ENERCONE82E2,E-82 E2,58,58,PRÄFIX Enercon | Enercon E-82 E2:58 -> E-82 E2 (Ziel hat 850)
VESTASV17272,V172-7.2,57,57,PRÄFIX Vestas | Vestas V172-7.2:57 -> V172-7.2 (Ziel hat 219)
ENERCONE115,E-115,56,56,PRÄFIX Enercon | Enercon E-115:56 -> E-115 (Ziel hat 790)
ENERCONE66/1870,E-66/18.70,56,56,PRÄFIX Enercon | Enercon E-66/18.70:56 -> E-66/18.70 (Ziel hat 604)
SENVION32M114,3.2M114,51,51,PRÄFIX Senvion | Senvion 3.2M114:51 -> 3.2M114 (Ziel hat 234)
ENERCONE138EP3E3,E-138 EP3 E3,47,47,PRÄFIX Enercon | Enercon E-138 EP3 E3:47 -> E-138 EP3 E3 (Ziel hat 293)
ENERCONE138EP3E2,E-138 EP3 E2,45,45,PRÄFIX Enercon | Enercon E-138 EP3 E2:45 -> E-138 EP3 E2 (Ziel hat 295)
NORDEXN163,N163,45,45,PRÄFIX Nordex | Nordex N163:45 -> N163 (Ziel hat 106)
VESTASV162,V162,45,45,PRÄFIX Vestas | Vestas V162:45 -> V162 (Ziel hat 313)
VESTASV16262,V162-6.2,44,44,PRÄFIX Vestas | Vestas V162-6.2:44 -> V162-6.2 (Ziel hat 190)
ENERCONE66,E-66,42,42,PRÄFIX Enercon | Enercon E-66:42 -> E-66 (Ziel hat 336)
NORDEXN117/2400,N117/2400,39,39,PRÄFIX Nordex | Nordex N117/2400:39 -> N117/2400 (Ziel hat 193)
VESTASV11230MW,V112-3.0 MW,36,36,PRÄFIX Vestas | Vestas V112-3.0 MW:36 -> V112-3.0 MW (Ziel hat 158)
ENERCONE175EP5E1,E-175 EP5 E1,35,35,PRÄFIX Enercon | Enercon E-175 EP5 E1:35 -> E-175 EP5 E1 (Ziel hat 161)
DEWINDD448/48/600,D4-48/48/600,33,33,PRÄFIX DeWind | DeWind D4-48/48/600:33 -> D4-48/48/600 (Ziel hat 3)
VESTASV126,V126,33,33,PRÄFIX Vestas | Vestas V126:33 -> V126 (Ziel hat 291)
